% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
5.61921	1	1	1	1.11845e-10	235790	0
5.62021	1	1	1	1.11856e-10	235814	0
5.62121	1	1	1	1.11868e-10	235839	0
5.62221	1	1	1	1.1188e-10	235863	0
5.62321	1	1	1	1.11891e-10	235887	0
5.62421	1	1	1	1.11903e-10	235912	0
5.62521	1	1	1	1.11914e-10	235936	0
5.62621	1	1	1	1.11926e-10	235960	0
5.62721	1	1	1	1.11937e-10	235985	0
5.62821	1	1	1	1.11949e-10	236009	0
5.62921	1	1	1	1.1196e-10	236033	0
5.63021	1	1	1	1.11972e-10	236058	0
5.63121	1	1	1	1.11984e-10	236082	0
5.63221	1	1	1	1.11995e-10	236106	0
5.63321	1	1	1	1.12007e-10	236131	0
5.63421	1	1	1	1.12018e-10	236155	0
5.63521	1	1	1	1.1203e-10	236180	0
5.63621	1	1	1	1.12041e-10	236204	0
5.63721	1	1	1	1.12053e-10	236228	0
5.63821	1	1	1	1.12065e-10	236253	0
5.63921	1	1	1	1.12076e-10	236277	0
5.64021	1	1	1	1.12088e-10	236302	0
5.64121	1	1	1	1.12099e-10	236326	0
5.64221	1	1	1	1.12111e-10	236350	0
5.64321	1	1	1	1.12122e-10	236375	0
5.64421	1	1	1	1.12134e-10	236399	0
5.64521	1	1	1	1.12146e-10	236424	0
5.64621	1	1	1	1.12157e-10	236448	0
5.64721	1	1	1	1.12169e-10	236473	0
5.64821	1	1	1	1.1218e-10	236497	0
5.64921	1	1	1	1.12192e-10	236522	0
5.65021	1	1	1	1.12204e-10	236546	0
5.65121	1	1	1	1.12215e-10	236570	0
5.65221	1	1	1	1.12227e-10	236595	0
5.65321	1	1	1	1.12238e-10	236619	0
5.65421	1	1	1	1.1225e-10	236644	0
5.65521	1	1	1	1.12262e-10	236668	0
5.65621	1	1	1	1.12273e-10	236693	0
5.65721	1	1	1	1.12285e-10	236717	0
5.65821	1	1	1	1.12296e-10	236742	0
5.65921	1	1	1	1.12308e-10	236766	0
5.66021	1	1	1	1.1232e-10	236791	0
5.66121	1	1	1	1.12331e-10	236815	0
5.66221	1	1	1	1.12343e-10	236840	0
5.66321	1	1	1	1.12355e-10	236864	0
5.66421	1	1	1	1.12366e-10	236889	0
5.66521	1	1	1	1.12378e-10	236913	0
5.66621	1	1	1	1.12389e-10	236938	0
5.66721	1	1	1	1.12401e-10	236962	0
5.66821	1	1	1	1.12413e-10	236987	0
5.66921	1	1	1	1.12424e-10	237011	0
