% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
29.321	1	1	1	5319.82	0
29.361	1	1	1	5319.86	0
29.401	1	1	1	5319.9	0
29.441	1	1	1	5319.95	0
29.481	1	1	1	5319.99	0
29.521	1	1	1	5320.03	0
29.561	1	1	1	5320.07	0
29.601	1	1	1	5320.11	0
29.641	1	1	1	5320.15	0
29.681	1	1	1	5320.18	0
29.721	1	1	1	5320.22	0
29.761	1	1	1	5320.26	0
29.801	1	1	1	5320.29	0
29.841	1	1	1	5320.33	0
29.881	1	1	1	5320.36	0
29.921	1	1	1	5320.4	0
29.961	1	1	1	5320.43	0
30.001	1	1	1	5320.46	0
30.041	1	1	1	5320.5	0
30.081	1	1	1	5320.53	0
30.121	1	1	1	5320.56	0
30.161	1	1	1	5320.59	0
30.201	1	1	1	5320.62	0
30.241	1	1	1	5320.65	0
30.281	1	1	1	5320.68	0
30.321	1	1	1	5320.71	0
30.361	1	1	1	5320.74	0
30.401	1	1	1	5320.77	0
30.441	1	1	1	5320.8	0
30.481	1	1	1	5320.82	0
30.521	1	1	1	5320.85	0
30.561	1	1	1	5320.88	0
30.601	1	1	1	5320.9	0
30.641	1	1	1	5320.93	0
30.681	1	1	1	5320.96	0
30.721	1	1	1	5320.98	0
30.761	1	1	1	5321.01	0
30.801	1	1	1	5321.03	0
30.841	1	1	1	5321.05	0
30.881	1	1	1	5321.08	0
30.921	1	1	1	5321.1	0
30.961	1	1	1	5321.13	0
31.001	1	1	1	5321.15	0
31.041	1	1	1	5321.17	0
31.081	1	1	1	5321.19	0
31.121	1	1	1	5321.22	0
31.161	1	1	1	5321.24	0
31.201	1	1	1	5321.26	0
31.241	1	1	1	5321.28	0
31.281	1	1	1	5321.3	0
31.321	1	1	1	5321.32	0
31.361	1	1	1	5321.34	0
31.401	1	1	1	5321.36	0
31.441	1	1	1	5321.38	0
31.481	1	1	1	5321.4	0
31.521	1	1	1	5321.42	0
31.561	1	1	1	5321.44	0
31.601	1	1	1	5321.46	0
31.641	1	1	1	5321.48	0
31.681	1	1	1	5321.5	0
31.721	1	1	1	5321.52	0
31.761	1	1	1	5321.53	0
31.801	1	1	1	5321.55	0
31.841	1	1	1	5321.57	0
31.881	1	1	1	5321.59	0
31.921	1	1	1	5321.6	0
31.961	1	1	1	5321.62	0
32.001	1	1	1	5321.64	0
32.041	1	1	1	5321.65	0
32.081	1	1	1	5321.67	0
32.121	1	1	1	5321.69	0
32.161	1	1	1	5321.7	0
32.201	1	1	1	5321.72	0
32.241	1	1	1	5321.73	0
32.281	1	1	1	5321.75	0
32.321	1	1	1	5321.77	0
32.361	1	1	1	5321.78	0
32.401	1	1	1	5321.8	0
32.441	1	1	1	5321.81	0
32.481	1	1	1	5321.83	0
32.521	1	1	1	5321.84	0
32.561	1	1	1	5321.85	0
32.601	1	1	1	5321.87	0
32.641	1	1	1	5321.88	0
